Core_Academic_Spaces	ROOM TYPE	Existing_Room_NFA	Existing_#_Rooms	Existing_Area_Totals	Proposed_Keep_Room_NFA	Proposed_Keep_#_Rooms	Proposed_Keep_Area_Totals	Proposed_New_Room_NFA	Proposed_New_#_Rooms	Proposed_New_Area_Totals	Totals_Proposed_ROOMNFA	Totals_Proposed_#_OF_RMS	Totals_Proposed_Area_Totals	Guideline_Room_NFA	Guideline_#_Rooms	Guideline_Area_Totals	Comments
Medical	Interview Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	100	"=IF(1+ROUND((Q72-600)/400,0)=-1,1,1+ROUND((Q72-600)/400,0))"	=P44*O44	
Medical	Examination Room / Resting			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	100	"=ROUNDUP(Q72/250,0)"	=P45*O45	
Administration & Guidance	General Office / Waiting Room / Toilet			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	"=IF((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)<600,300,300+((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)-600)*0.5)"	1	=P46*O46	
Administration & Guidance	Teachers' Mail and Time Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	100	1	=P47*O47	
Administration & Guidance	Duplicating Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	200	1	=P48*O48	
Administration & Guidance	Records Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	200	1	=P49*O49	
Administration & Guidance	Principal's Office w/ Conference Area			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	375	1	=P50*O50	
Administration & Guidance	Principal's Secretary / Waiting  			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	125	1	=P51*O51	
Administration & Guidance	Assistant Principal's Office - AP1			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	150	1	=P52*O52	
Administration & Guidance	Assistant Principal's Office - AP2			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	150	"=IF(Q72<1000,0,1+ROUNDDOWN((Q72-1000)/400,0))"	=P53*O53	
Administration & Guidance	Supervisory / Spare Office			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	120	1	=P54*O54	
Administration & Guidance	Conference Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	450	1	=P55*O55	
Administration & Guidance	Guidance Office			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	150	"=ROUNDUP(Q72/200,0)"	=P56*O56	
Administration & Guidance	Guidance Waiting Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	100	1	=P57*O57	
Administration & Guidance	Guidance Storeroom			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	100	1	=P58*O58	
Administration & Guidance	Career Center			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	"=IF((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)<600,300,300+((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)-600)*0.25)"	1	=P59*O59	
Administration & Guidance	Records Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	"=IF((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)<600,100,100+((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)-600)*0.125)"	1	=P60*O60	
Administration & Guidance	Teachers' Work Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	"=IF((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)<600,300,300+((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)-600)*0.5)"	1	=P61*O61	
Custodial & Maintenance	Custodian's Office			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	150	1	=P62*O62	
Custodial & Maintenance	Custodian's Workshop			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	250	1	=P63*O63	
Custodial & Maintenance	Custodian's Storage			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	375	1	=P64*O64	
Custodial & Maintenance	Recycling Room / Trash			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	400	1	=P65*O65	
Custodial & Maintenance	Receiving and General Supply			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	"=IF((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)<600,300,300+((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)-600)*0.25)"	1	=P66*O66	
Custodial & Maintenance	Storeroom			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	"=IF((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)<600,400,400+((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)-600)*0.5)"	1	=P67*O67	
Custodial & Maintenance	Network / Telecom Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	200	1	=P68*O68	
Other	Other (specify)			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]				
																	
	Total Building Net Floor Area (NFA)			=SUM(E2:E68)			=SUM(H2:H68)			=SUM(K2:K68)						=SUM(Q2:Q68)	
	Proposed Student Capacity / Enrollment															=Enrollment_SQF[Total Enrollment]	
	Total Building Gross Floor Area (GFA)2									=K71*K74						=Q72*#REF!	
	Grossing factor (GFA/NFA)			=E73/E71						1.5						=Q73/Q71	
0																	
1000																	

																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
